date, pm25, pm10, o3, no2, so2, co
2020/7/21, 63, 24, 16, 6, , 
2020/7/22, 63, 23, 16, 5, , 
2020/7/23, 63, 27, , 10, , 
2020/7/24, 64, , , , , 
2020/7/27, 62, 23, 13, 2, , 
2020/7/28, 61, 21, 28, 2, , 
2020/7/29, 59, 18, , 2, , 
2020/7/30, 58, 32, 11, 11, , 
2020/7/31, 61, 24, 11, 4, , 
2020/8/1, 60, 23, 7, 7, , 
2020/8/2, 59, 29, 8, 11, , 
2020/8/3, 62, 32, 10, 14, , 
2020/8/4, 62, 27, , 19, , 
2020/8/5, 61, 34, , 18, , 
2020/8/6, 63, 36, , 24, , 
2020/8/7, 66, 32, , 19, , 
2020/8/8, 62, 33, , 12, , 
2020/8/9, 61, 34, , 16, , 
2020/8/10, 61, 40, , 25, , 
2020/8/11, 66, 30, , 12, , 
2020/8/12, 62, 33, , 16, , 
2020/8/13, 62, 30, , 17, , 
2020/8/14, 64, 35, , 11, , 
2020/8/15, 65, 40, , 12, , 
2020/8/16, 66, 44, , 14, , 
2020/8/17, 67, 43, , 9, , 
2020/8/18, 71, 43, , 8, , 
2020/8/19, 73, 46, , 14, , 
2020/8/20, 71, 41, , 8, , 
2020/8/21, 70, 32, , 9, , 
2020/8/22, 64, 27, , 5, , 
2020/8/23, 61, 27, , 4, , 
2020/8/24, 63, , , , , 
2020/8/27, 72, 29, 11, 8, , 
2020/8/28, 64, 40, 26, 9, , 
2020/8/29, 67, , 19, 7, , 
2020/8/31, 66, , , 7, , 
2020/9/26, 64, 29, , , , 
2020/9/27, 66, 31, , , , 
2020/9/28, 63, 28, , , , 
2020/9/29, 60, 26, , , , 
2020/9/30, 62, 26, , , , 
2020/4/1, 145, 63, , 6, , 
2020/4/2, 132, 52, , 6, , 
2020/4/3, 114, 56, , 4, , 
2020/4/4, 115, 43, , 3, , 
2020/4/5, 99, 56, , 4, , 
2020/4/6, 123, 57, , 3, , 
2020/4/7, 118, 52, , 6, , 
2020/4/8, 113, 47, , 6, , 
2020/4/9, 106, 48, , 5, , 
2020/4/10, 111, 42, , 2, , 
2020/4/11, 108, 52, , 4, , 
2020/4/12, 121, 24, , 6, , 
2020/4/13, 88, 38, , 4, , 
2020/4/14, 100, 52, , 11, , 
2020/4/15, 113, 61, , 1, , 
2020/4/16, 121, 47, , , , 
2020/4/17, 95, 46, , 3, , 
2020/4/18, 103, 47, , , , 
2020/4/19, 99, 43, , , , 
2020/4/20, 90, 48, , , , 
2020/4/21, 99, 61, , 2, , 
2020/4/22, 112, 50, , 1, , 
2020/4/23, 93, 42, , 4, , 
2020/4/24, 90, 25, , 2, , 
2020/4/25, 70, 29, , 2, , 
2020/4/26, 67, 25, , 1, , 
2020/4/27, 64, 31, , 6, , 
2020/4/28, 69, 43, , 5, , 
2020/4/29, 79, 43, , 5, , 
2020/4/30, 87, 42, , 5, , 
2020/5/1, 83, 31, , 2, , 
2020/5/2, 74, 44, , 4, , 
2020/5/3, 87, 43, , 4, , 
2020/5/4, 82, 38, , 3, , 
2020/5/5, 77, 44, , 3, , 
2020/5/6, 82, 42, , 2, , 
2020/5/7, 74, 32, , 3, , 
2020/5/8, 72, 39, , 3, , 
2020/5/9, 75, 37, , , , 
2020/5/10, 75, 39, , 2, , 
2020/5/11, 74, 30, , 3, , 
2020/5/12, 69, 41, , 5, , 
2020/5/13, 79, 39, , 4, , 
2020/5/14, 75, 39, , 4, , 
2020/5/15, 76, 39, , 6, , 
2020/5/16, 75, 38, , 2, , 
2020/5/17, 74, 33, , 2, , 
2020/5/18, 69, 25, , 7, , 
2020/5/19, 65, 31, , 3, , 
2020/5/20, 66, 32, , 2, , 
2020/5/21, 68, 47, , , , 
2020/5/22, 80, 52, , , , 
2020/5/23, 80, 42, , 2, , 
2020/5/24, 74, 44, , 2, , 
2020/5/25, 73, 35, , 5, , 
2020/5/26, 68, 28, , 2, , 
2020/5/27, 64, 22, , 2, , 
2020/5/28, 60, 23, , 5, , 
2020/5/29, 61, 28, , 2, , 
2020/5/30, 64, 23, , 2, , 
2020/5/31, 61, 24, , 2, , 
2020/6/1, 61, 25, , 1, , 
2020/6/2, 62, 28, , 2, , 
2020/6/3, 63, 27, , 1, , 
2020/6/4, 63, 30, , 5, , 
2020/6/5, 65, 25, , , , 
2020/6/6, 61, 21, , 2, , 
2020/6/7, 60, 20, , 1, , 
2020/6/8, 59, 21, , 3, , 
2020/6/9, 61, 23, , 1, , 
2020/6/10, 61, 24, , 3, , 
2020/6/11, 62, 24, , 1, , 
2020/6/12, 61, 23, , , , 
2020/6/13, 60, 21, , 2, , 
2020/6/14, 60, 17, , 2, , 
2020/6/15, 56, 19, , 2, , 
2020/6/16, 58, 18, , , , 
2020/6/17, 59, 16, , 2, , 
2020/6/18, 57, 27, , 2, , 
2020/6/19, 62, 27, , 3, , 
2020/6/20, 62, 30, , 3, , 
2020/6/21, 63, 27, , 1, , 
2020/6/22, 65, 28, , 1, , 
2020/6/23, 66, 28, , 3, , 
2020/6/24, 65, 31, , 1, , 
2020/6/25, 65, 22, , 2, , 
2020/6/26, 60, 20, , , , 
2020/6/27, 58, 24, , 2, , 
2020/6/28, 62, 27, , , , 
2020/6/29, 63, 24, , 2, , 
2020/6/30, 62, 21, , 3, , 
2020/3/11, 157, 66, 33, 6, , 
2020/3/12, 157, 59, 30, 8, , 
2020/3/13, 141, 62, 27, 10, , 
2020/3/14, 151, 58, 27, 4, , 
2020/3/15, 133, 49, 25, 5, , 
2020/3/16, 121, 52, 26, 5, , 
2020/3/17, 119, 50, 27, 3, , 
2020/3/18, 113, 55, 28, 2, , 
2020/3/19, 131, 55, 24, 3, , 
2020/3/20, 125, 52, 23, 4, , 
2020/3/21, 124, , , , , 
2020/3/25, 850, 49, , 3, 26, 
2020/3/26, 368, 53, , 3, , 
2020/3/27, 120, 62, , 3, , 
2020/3/28, 135, 75, , 6, , 
2020/3/29, 153, 72, , 6, , 
2020/3/30, 147, 71, , 5, , 
2020/3/31, 143, 77, , 6, , 
2021/5/21, , 35, , , , 
2021/5/22, , 33, , , , 
2021/5/23, , 27, , , , 
2021/5/24, , 18, , , , 
2021/5/25, , 19, , , , 
2021/5/26, , 24, , , , 
2021/5/27, , 23, , , , 
2021/5/28, , 23, , , , 
2021/5/29, , 24, , , , 
2021/5/30, , 29, , , , 
2021/5/31, , 33, , , , 
2020/10/8, , 23, , , , 
2020/11/17, , 9, 9, 4, 8, 
2020/7/26, , 24, 10, 2, 1, 
2020/8/26, , 36, 5, 7, , 
2020/8/30, , 37, 13, 7, , 
2020/9/25, , 29, , , , 
2020/3/10, , 64, 33, 7, , 
2020/3/24, , 43, , , 27, 
2020/11/15, , , 17, , , 
